iter	Passed	Remaining
0	1	104
1	1	93
2	2	87
3	3	82
4	4	86
5	5	86
6	6	86
7	7	85
8	8	85
9	9	85
10	10	84
11	11	83
12	12	83
13	13	82
14	14	81
15	15	80
16	16	79
17	17	77
18	17	76
19	18	75
20	19	74
21	20	74
22	21	72
23	22	71
24	23	70
25	24	70
26	25	69
27	26	68
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	36	57
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	44
53	50	43
54	51	41
55	51	40
56	52	39
57	53	39
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	92	0
99	93	0
